datetime,p1_character,p2_character,p3_character,p4_character,p1_kos,p2_kos,p3_kos,p4_kos,p1_falls,p2_falls,p3_falls,p4_falls,p1_damage,p2_damage,p3_damage,p4_damage,win,opponent
2026-01-23 19:06:13,Captain Falcon,Ganondorf,Terry,Ken,1,5,2,2,2,2,3,3,239,416,296,291,Yes,#
2026-01-23 22:23:45,Captain Falcon,King K. Rool,Pyra & Mythra,Palutena,0,3,2,4,3,3,2,1,149,226,462,509,No,Coleman
2026-01-23 22:32:11,Captain Falcon,King K. Rool,King K. Rool,Ganondorf,3,3,0,3,1,2,3,3,360,297,178,395,Yes,Kitchen
2026-01-23 22:34:57,Captain Falcon,King K. Rool,Ganondorf,Ness,0,0,2,4,3,3,0,0,131,98,310,354,No,CeBearDa
2026-01-23 22:40:43,Captain Falcon,Captain Falcon,Steve,Kirby,4,2,2,2,2,2,3,3,383,304,296,278,Yes,Joao
2026-01-23 22:42:37,Captain Falcon,Captain Falcon,Zero suit Samus,Corrin,1,2,0,0,0,0,1,2,14,78,110,52,Yes,KonSims
2026-01-23 22:46:33,Captain Falcon,Captain Falcon,Captain Falcon,King K. Rool,1,1,4,2,3,3,1,1,258,259,315,342,No,AlexG
2026-01-23 22:49:45,Captain Falcon,Captain Falcon,Captain Falcon,King K. Rool,0,2,3,3,3,3,0,2,126,251,279,349,No,AlexG
2026-01-23 22:54:18,Captain Falcon,Captain Falcon,Captain Falcon,King K. Rool,2,4,2,2,2,2,3,3,334,394,377,317,Yes,AlexG
2026-01-23 22:57:10,Captain Falcon,Captain Falcon,Captain Falcon,King K. Rool,2,1,2,4,3,3,2,1,144,281,264,300,No,AlexG
2026-01-23 23:02:06,Captain Falcon,Captain Falcon,Corrin,Ike,3,3,2,0,1,1,3,3,195,368,272,133,Yes,DAYA
